Gene	GSM1304836	GSM1304837	GSM1304838	GSM1304839	GSM1304840	GSM1304841	GSM1304842	GSM1304843	GSM1304844	GSM1304845	GSM1304846	GSM1304847	GSM1304848	GSM1304849	GSM1304850	GSM1304851
Dhodh	184.794	257.321	252.1995	250.722	243.62	295.652	292.699	290.654	122.392	297.9285	309.3005	357.4545	77.6763	174.0105	226.298	169.301
Cyp27a1	751.498595	1322.376475	1483.8399	1769.2806915	1766.9203	1806.6106	1891.62705	2042.71	84.68705	127.4576	171.85885	148.613325	62.5658185	80.465605	92.7658	89.39445
Mtor	205.365245	254.8916	236.217325	234.704675	200.221915	260.822905	239.710025	266.48085	223.748795	244.82654	254.06705	231.89903	231.32735	275.225905	254.505915	290.58925
Tusc2	472.918	514.329	543.551	543.411	485.816	445.473	434.267	464.485	496.892	485.677	466.617	439.257	501.761	434.993	498.374	497.757
Cd28	948.5765	3230.04	4134.265	3849.03	251.4035	429.221	559.2275	447.7125	137.536	47.7068	43.8166	37.9455	66.42805	49.173	86.50435	58.80855
Cd276	21.4976	147.427	119.004	80.6729	1.89443	58.147	11.7392	43.046	29.7673	52.1069	33.6838	76.7578	10.7899	37.497	35.1162	20.609
Cox6a2	273.998	66.96714	49.638325	65.297595	277.9765	100.4236	76.21565	71.58614	400.8165	266.44565	273.81655	197.0835	285.7657	111.35895	66.42013	110.39395
Prodh	69.381	135.257	60.892	85.3699	27.1622	67.6545	12.4392	70.5643	1.95228	7.23292	2.06444	23.2997	2.2612	3.01743	8.39269	33.3561
Cd79b	173.079	90.8481	89.381	87.9298	146.11	36.6422	46.1501	31.6513	81.9554	48.3492	13.1851	3.09626	32.8281	31.6245	3.76779	4.41717
Timm44	1467.75425	1453.8435	1558.701	1497.9475	1369.7365	1480.46925	1523.5685	1470.573	1028.558	1679.74025	1575.7655	1639.43225	968.68475	1250.81875	1335.853	1141.70775
Diablo	428.37775	478.6157	471.64025	499.40775	396.206	456.2436	536.196935	456.96025	542.247445	663.21635	584.31825	644.54205	981.49935	1114.1567	1166.88155	1124.316545
Pvrl2	263.9415	147.3525	154.514	145.2365	267.787	168.7205	172.2335	194.476	261.4055	238.567	304.831	300.1795	237.4425	161.436	250.627	221.624
Otub1	1136.494	808.909	799.1145	816.433	1074.0405	845.183	922.8105	974.125	1015.5375	1042.282	1076.6625	1048.3835	1082.53	827.3785	821.5975	760.0305
Got2	508.59118	577.603605	547.7489	583.67535	803.590148	972.707845	942.227475	898.218875	255.211925	495.0217	429.0543145	498.908425	301.10415	477.600065	513.27412	484.63661
Mrps31	319.7405	288.17645	320.25365	311.8786	268.74055	281.0886	251.86602	286.724	199.2617	251.5385	262.52645	275.84105	166.7705	255.83705	249.08015	241.24315
Foxm1	45.78696	54.43047625	25.466265	39.5072975	18.11561375	37.7409425	53.67605375	50.5308925	41.5362025	27.6023675	31.114869	29.11659375	26.35584875	41.04253625	28.7801895	30.9364475
Slc25a37	656.047	803.247	725.306	815.712	1276.46	1344.43	1125.61	1450.1	1348.65	4099.18	3304.54	4429.46	1252.1	3642.59	3235.65	2377.02
Apoa4	5.99185	9.31384	13.328405	5.05911	6.061365	7.456195	3.780305	6.60875	14.218065	10.21775	12.08237	34.72225	22.75112	10.64452	19.1411	3.69717
Cyb5b	1244.7075	938.4425	882.47675	864.59225	1119.3605	924.2385	924.582	887.1495	1286.679	1077.80575	1002.23625	1171.469	1202.141	977.8985	1024.5995	1044.16575
Azgp1	9.90172	9.22401	9.33467	10.6844	2.81344	4.86751	9.48989	6.07691	4.40022	7.93244	7.61386	5.84152	10.7433	5.41236	37.6251	29.8892
Zfp35	492.712	525.992	438.072	491.111	518.479	522.472	477.932	436.545	889.409	757.027	799.924	685.066	659.734	907.228	833.55	935.034
Ccl11	6.73367	2.91841	12.1085	25.9998	1.17237	1.5859	2.56939	2.98112	3.10291	1.10041	2.68274	2.21849	6.52067	1.12413	1.38684	4.37246
Slc8b1	1656.45	2102.4	2038.72	2536.09	1832.82	1868.53	1736.0	2011.75	3864.1	2347.56	2482.03	2352.96	3896.39	4679.15	4477.47	4682.85
Galr3 	51.334085	56.505575	51.139575	47.125555	27.96984	26.04333	25.439615	17.08754	19.0969125	33.4738	32.820175	28.345125	10.54073	11.0255225	10.037545	22.8838
Synj2bp	1367.09025	1561.6029	1475.5012625	1533.406625	1135.0070125	1249.328725	1198.9571125	1158.924775	989.992825	1504.89525	1468.7886	1482.74675	877.0554375	1213.3824875	1224.6429125	1276.7963375
